index,match_id,x,y,xG,minute,result,team,h_a,player,home_score,away_score,home_goal_scored,away_goal_scored,test_home_score,home_current_score,away_current_score
847,18234,0.7669999694824219,0.2720000076293945,0.044980306178331375,46,BlockedShot,Leeds,a,Rodrigo,0,0,0,0,,0,0
840,18234,0.9719999694824218,0.575999984741211,0.11936217546463013,47,MissedShots,Brighton,h,Pascal Groß,0,0,0,0,,0,0
841,18234,0.9019999694824219,0.3820000076293945,0.5019010901451111,50,SavedShot,Brighton,h,Solly March,0,0,0,0,,0,0
848,18234,0.695,0.5570000076293945,0.014775104820728302,50,BlockedShot,Leeds,a,Rodrigo,0,0,0,0,,0,0
842,18234,0.894000015258789,0.4279999923706055,0.032598331570625305,56,MissedShots,Brighton,h,Lewis Dunk,0,0,0,0,,0,0
843,18234,0.9059999847412109,0.4520000076293945,0.10904043912887573,57,MissedShots,Brighton,h,Solly March,0,0,0,0,,0,0
849,18234,0.9780000305175781,0.555,0.6898663640022278,60,MissedShots,Leeds,a,Luis Sinisterra,0,0,0,0,,0,0
850,18234,0.9319999694824219,0.265,0.0370783768594265,62,MissedShots,Leeds,a,Rodrigo,0,0,0,0,,0,0
851,18234,0.919000015258789,0.67,0.07013722509145737,64,SavedShot,Leeds,a,Rodrigo,0,0,0,0,,0,0
844,18234,0.8869999694824219,0.40299999237060546,0.10393780469894409,65,Goal,Brighton,h,Pascal Groß,0,0,1,0,,0,0
852,18234,0.8540000152587891,0.5790000152587891,0.07634277641773224,70,BlockedShot,Leeds,a,Rodrigo,0,0,0,0,,1,0
853,18234,0.8480000305175781,0.629000015258789,0.0476965494453907,70,SavedShot,Leeds,a,Pascal Struijk,0,0,0,0,,0,0
845,18234,0.710999984741211,0.669000015258789,0.01297421008348465,71,MissedShots,Brighton,h,Estupiñán,0,0,0,0,,0,0
854,18234,0.955,0.4590000152587891,0.11466138064861298,81,MissedShots,Leeds,a,Diego Llorente,0,0,0,0,,0,0
855,18234,0.73,0.6609999847412109,0.01670883037149906,91,BlockedShot,Leeds,a,Joe Gelhardt,0,0,0,0,,0,0
856,18235,0.919000015258789,0.43599998474121093,0.43943411111831665,5,SavedShot,Chelsea,h,Ruben Loftus-Cheek,0,0,0,0,,0,0
863,18235,0.7569999694824219,0.5670000076293945,0.01746940426528454,39,BlockedShot,Leicester,a,James Justin,0,0,0,0,,0,0
857,18235,0.8909999847412109,0.5020000076293946,0.03248627483844757,40,BlockedShot,Chelsea,h,Thiago Silva,0,0,0,0,,0,0
858,18235,0.9019999694824219,0.2879999923706055,0.01774136908352375,42,ShotOnPost,Chelsea,h,Reece James,0,0,0,0,,0,0
864,18235,0.884000015258789,0.43900001525878907,0.2981398105621338,43,MissedShots,Leicester,a,Jamie Vardy,0,0,0,0,,0,0
859,18235,0.779000015258789,0.6459999847412109,0.0239646527916193,46,Goal,Chelsea,h,Raheem Sterling,0,0,1,0,,0,0
865,18235,0.91,0.43,0.41836702823638916,48,SavedShot,Leicester,a,Timothy Castagne,0,0,0,0,,1,0
860,18235,0.86,0.4209999847412109,0.5026638507843018,50,ShotOnPost,Chelsea,h,Raheem Sterling,0,0,0,0,,0,0
866,18235,0.8290000152587891,0.634000015258789,0.02899179980158806,51,BlockedShot,Leicester,a,Youri Tielemans,0,0,0,0,,0,0
867,18235,0.9669999694824218,0.4470000076293945,0.0752122774720192,51,MissedShots,Leicester,a,Timothy Castagne,0,0,0,0,,0,0
868,18235,0.7180000305175781,0.43400001525878906,0.017366033047437668,56,BlockedShot,Leicester,a,Kelechi Iheanacho,0,0,0,0,,0,0
869,18235,0.8640000152587891,0.5129999923706055,0.03405960649251938,57,SavedShot,Leicester,a,Harvey Barnes,0,0,0,0,,0,0
